Band	HGNC symbol	Gene Start (bp)	Gene End (bp)	Chromosome Name
q13.12	SPATS2	49366584	49527424	12
q13.12	KCNH3	49539157	49558308	12
q13.12	MCRS1	49556544	49568153	12
q13.12	PRPF40B	49568218	49644666	12
q13.12	FAM186B	49582885	49605639	12
q13.12	FMNL3	49636499	49708165	12
q13.12	TMBIM6	49707725	49764934	12
q13.12	NCKAP5L	49791146	49828750	12
q13.12	BCDIN3D	49836039	49843129	12
q13.12	FAIM2	49866896	49904217	12
q13.12	AQP2	49950741	49958881	12
q13.12	AQP5	49961870	49965681	12
q13.12	AQP6	49967194	49977139	12
q13.12	RACGAP1	49976923	50033136	12
q13.12	SMARCD1	50084972	50100712	12
q13.12	GPD1	50103819	50111319	12
q13.12	COX14	50111979	50120457	12
q13.12	CERS5	50129306	50167533	12
q13.12	LIMA1	50175788	50283546	12
q13.12	MIR1293	50234142	50234212	12
q13.12	FAM186A	50326230	50396622	12
q13.12	LARP4	50392383	50480004	12
q13.12	DIP2B	50504985	50748667	12
q13.12	ATF1	50763710	50821122	12
q13.12	TMPRSS12	50842920	50887884	12
q13.12	METTL7A	50923472	50932517	12
q13.12	HIGD1C	50953922	50970506	12
q13.12	SLC11A2	50979401	51028566	12
q13.12	LETMD1	51047962	51060424	12
q13.12	CSRNP2	51061205	51083664	12
q13.13	TFCP2	51093663	51173134	12
q13.13	POU6F1	51186936	51217708	12
q13.13	DAZAP2	51238292	51271362	12
q13.13	SMAGP	51244558	51270890	12
q13.13	BIN2	51281038	51324668	12
q13.13	CELA1	51328443	51346679	12
q13.13	GALNT6	51351247	51392867	12
q13.13	SLC4A8	51391317	51515763	12
q13.13	SCN8A	51590266	51812864	12
q13.13	FIGNL2	51820459	51822415	12
q13.13	ANKRD33	51887960	51891664	12
q13.13	ACVRL1	51906908	51923361	12
q13.13	ACVR1B	51951667	51997078	12
q13.13	GRASP	52006940	52015889	12
q13.13	NR4A1	52022832	52059507	12
q13.13	KRT80	52168996	52192000	12
q13.13	KRT7	52232520	52252186	12
q13.13	KRT86	52249300	52309163	12
q13.13	KRT81	52285913	52291534	12
q13.13	KRT83	52314301	52321398	12
q13.13	KRT85	52360006	52367481	12
q13.13	KRT84	52377812	52385652	12
q13.13	KRT82	52393931	52406355	12
q13.13	KRT75	52424070	52434525	12
q13.13	KRT6B	52446651	52452126	12
q13.13	KRT6C	52468516	52473785	12
q13.13	KRT6A	52487174	52493257	12
q13.13	KRT5	52514575	52520687	12
q13.13	KRT71	52543909	52553147	12
q13.13	KRT74	52565782	52573825	12
q13.13	KRT72	52585589	52601538	12
q13.13	KRT73	52607570	52618559	12
q13.13	KRT2	52644558	52652164	12
q13.13	KRT1	52674736	52680407	12
q13.13	KRT77	52689626	52703463	12
q13.13	KRT76	52768155	52777345	12
q13.13	KRT3	52789685	52796117	12
q13.13	KRT4	52806549	52814551	12
q13.13	KRT79	52821410	52834295	12
q13.13	KRT78	52837804	52849092	12
q13.13	KRT8	52897187	52949954	12
q13.13	KRT18	52948871	52952901	12
q13.13	EIF4B	53006158	53042209	12
q13.13	SPRYD3	53064316	53079420	12
q13.13	IGFBP6	53097436	53102345	12
q13.13	SOAT2	53103518	53124538	12
q13.13	CSAD	53157663	53180909	12
q13.13	ZNF740	53180700	53195141	12
q13.13	ITGB7	53191318	53207307	12
q13.13	RARG	53210567	53232980	12
q13.13	MFSD5	53251251	53254405	12
q13.13	ESPL1	53268299	53293643	12
q13.13	PFDN5	53295291	53299450	12
q13.13	C12orf10	53299686	53307177	12
q13.13	AAAS	53307456	53324864	12
q13.13	SP7	53326575	53345315	12
q13.13	SP1	53380176	53416446	12
q13.13	AMHR2	53423855	53431534	12
q13.13	PRR13	53441605	53446645	12
q13.13	PCBP2	53452102	53481162	12
q13.13	MAP3K12	53479669	53500063	12
q13.13	TARBP2	53500921	53506431	12
q13.13	NPFF	53506690	53507638	12
q13.13	ATF7	53507856	53626410	12
q13.13	ATP5G2	53632726	53677408	12
q13.13	CALCOCO1	53708517	53727745	12
q13.13	HOXC13	53938765	53946544	12
q13.13	HOXC12	53954834	53958956	12
q13.13	HOTAIR	53962308	53974956	12
q13.13	HOXC11	53973126	53977643	12
q13.13	HOXC10	53985065	53990279	12
q13.13	HOXC6	53990624	54030823	12
q13.13	MIR196A2	53991738	53991847	12
q13.13	HOXC9	53994895	54003337	12
q13.13	HOXC8	54009106	54012362	12
q13.13	HOXC4	54016931	54056030	12
q13.13	HOXC5	54032853	54035358	12
q13.13	MIR615	54033950	54034045	12
q13.13	SMUG1	54121277	54189008	12
q13.13	CBX5	54230940	54280133	12
q13.13	HNRNPA1	54280193	54287088	12
q13.13	NFE2	54292111	54301121	12
q13.13	COPZ1	54301202	54351849	12
q13.13	MIR148B	54337216	54337314	12
q13.13	GPR84	54362445	54364487	12
q13.13	ZNF385A	54369133	54391298	12
q13.13	ITGA5	54395261	54419460	12
q13.13	GTSF1	54455950	54473602	12
q13.13	NCKAP1L	54497711	54548238	12
q13.2	PDE1B	54549350	54579239	12
q13.2	PPP1R1A	54575387	54588659	12
q13.2	GLYCAM1	54608187	54610462	12
q13.2	LACRT	54630811	54634895	12
q13.2	DCD	54644591	54648493	12
q13.2	MUCL1	54830519	54858393	12
q13.2	NEUROD4	55019945	55030014	12
q13.2	OR9K2	55129681	55130802	12
q13.2	OR10A7	55221025	55221975	12
q13.2	OR6C74	55247198	55248302	12
q13.2	OR6C6	55294288	55295232	12
q13.2	OR6C1	55320561	55321624	12
q13.2	OR6C3	55331701	55332636	12
q13.2	OR6C75	55365111	55366049	12
q13.2	OR6C65	55400430	55401505	12
q13.2	OR6C76	55426254	55427192	12
q13.2	OR6C2	55452214	55453152	12
q13.2	OR6C70	55469200	55470138	12
q13.2	OR6C68	55492378	55493316	12
q13.2	OR6C4	55551199	55552244	12
q13.2	OR10P1	55636860	55637854	12
q13.2	METTL7B	55681546	55684611	12
q13.2	ITGA7	55684568	55716043	12
q13.2	BLOC1S1	55716037	55720087	12
q13.2	RDH5	55720367	55724705	12
q13.2	CD63	55725323	55729707	12
q13.2	GDF11	55743280	55757278	12
q13.2	SARNP	55752463	55817756	12
q13.2	ORMDL2	55817919	55821879	12
q13.2	DNAJC14	55820960	55830824	12
q13.2	TMEM198B	55829608	55836246	12
q13.2	MMP19	55835433	55842966	12
q13.2	DGKA	55927319	55954027	12
q13.2	PMEL	55954105	55973317	12
q13.2	CDK2	55966769	55972784	12
q13.2	RAB5B	55973913	55996683	12
q13.2	SUOX	55997180	56006641	12
q13.2	IKZF4	56007659	56038435	12
q13.2	RPS26	56041853	56044675	12
q13.2	ERBB3	56079857	56103505	12
q13.2	PA2G4	56104319	56113907	12
q13.2	RPL41	56116586	56117943	12
q13.2	ZC3H10	56118159	56127514	12
q13.2	ESYT1	56118250	56144671	12
q13.2	MYL6B	56152256	56159647	12
q13.2	MYL6	56158161	56163496	12
q13.2	SMARCC2	56162983	56189567	12
q13.3	RNF41	56202175	56221933	12
q13.3	SLC39A5	56230049	56237846	12
q13.3	ANKRD52	56237807	56258391	12
q13.3	COQ10A	56266858	56270966	12
q13.3	CS	56271699	56300392	12
q13.3	CNPY2	56309842	56316336	12
q13.3	PAN2	56316223	56334053	12
q13.3	IL23A	56334174	56340410	12
q13.3	STAT2	56341597	56360155	12
q13.3	APOF	56360569	56362823	12
q13.3	TIMELESS	56416373	56449403	12
q13.3	MIP	56449502	56469166	12
q13.3	SPRYD4	56468567	56479707	12
q13.3	GLS2	56470944	56488414	12
q13.3	RBMS2	56521929	56596196	12
q13.3	BAZ2A	56595596	56636816	12
q13.3	ATP5B	56638175	56646068	12
q13.3	SNORD59A	56645027	56645101	12
q13.3	PTGES3	56663341	56688408	12
q13.3	NACA	56712428	56731628	12
q13.3	PRIM1	56731596	56752373	12
q13.3	HSD17B6	56752161	56787790	12
q13.3	SDR9C7	56923154	56934405	12
q13.3	RDH16	56951431	56959374	12
q13.3	GPR182	56994446	56998441	12
q13.3	ZBTB39	56998834	57006446	12
q13.3	TAC3	57010000	57028883	12
q13.3	MYO1A	57028517	57051198	12
q13.3	NAB2	57088894	57095476	12
q13.3	STAT6	57095408	57132139	12
q13.3	LRP1	57128493	57213351	12
q13.3	MIR1228	57194504	57194576	12
q13.3	NXPH4	57216795	57226449	12
q13.3	SHMT2	57229327	57234935	12
q13.3	NDUFA4L2	57234903	57240715	12
q13.3	STAC3	57243453	57251193	12
q13.3	R3HDM2	57253762	57431005	12
q13.3	INHBC	57434760	57450828	12
q13.3	INHBE	57452323	57459280	12
q13.3	GLI1	57460135	57472262	12
q13.3	ARHGAP9	57472255	57488814	12
q13.3	MARS	57475445	57517569	12
q13.3	DDIT3	57516588	57520517	12
q13.3	MBD6	57520710	57530148	12
q13.3	DCTN2	57530102	57547331	12
q13.3	KIF5A	57549998	57586632	12
q13.3	PIP4K2C	57591174	57603418	12
q13.3	DTX3	57604622	57609804	12
q13.3	ARHGEF25	57610180	57619379	12
q13.3	SLC26A10	57619527	57626151	12
q13.3	B4GALNT1	57623410	57633355	12
q13.3	OS9	57693955	57721557	12
q14.1	AGAP2	57723761	57742157	12
q14.1	TSPAN31	57738013	57750211	12
q14.1	CDK4	57747727	57756013	12
q14.1	MARCH9	57755098	57760407	12
q14.1	CYP27B1	57762334	57768986	12
q14.1	METTL1	57768471	57772793	12
q14.1	METTL21B	57771492	57782541	12
q14.1	TSFM	57782589	57808071	12
q14.1	AVIL	57797376	57818704	12
q14.1	CTDSP2	57819927	57846739	12
q14.1	MIR26A2	57824609	57824692	12
q14.1	LRIG3	58872149	58920522	12
q14.1	SLC16A7	59596067	59789855	12
q14.1	FAM19A2	61708259	62279150	12
q14.1	USP15	62260338	62417431	12
q14.1	MON2	62466817	62600479	12
q14.1	MIRLET7I	62603686	62603769	12
q14.2	PPM1H	62643982	62935037	12
q14.2	AVPR1A	63142759	63150942	12
q14.2	DPY19L2	63558913	63668939	12
q14.2	TMEM5	63779803	63809558	12
q14.2	SRGAP1	63844293	64162221	12
q14.2	C12orf66	64186316	64222296	12
q14.2	C12orf56	64264762	64391192	12
q14.2	XPOT	64404350	64451127	12
q14.2	TBK1	64451880	64502108	12
q14.2	RASSF3	64507001	64697567	12
q14.2	MIR548C	64622509	64622605	12
q14.3	GNS	64713445	64759447	12
q14.3	TBC1D30	64781193	64881032	12
q14.3	WIF1	65050626	65121566	12
q14.3	LEMD3	65169571	65248327	12
q14.3	MSRB3	65278643	65488244	12
q14.3	RPSAP52	65758020	65826997	12
q14.3	HMGA2	65824131	65966295	12
q14.3	LLPH	66116555	66130768	12
q14.3	TMBIM4	66135846	66170072	12
q14.3	IRAK3	66188879	66254622	12
q14.3	HELB	66302545	66347645	12
q14.3	GRIP1	66347431	66804186	12
q14.3	CAND1	67269281	67319951	12
q15	DYRK2	67648338	67665406	12
q15	IFNG	68154768	68159747	12
q15	IL26	68201351	68225821	12
q15	IL22	68248242	68253607	12
q15	MDM1	68272443	68332381	12
q15	RAP1B	68610839	68671901	12
q15	SNORA70G	68627234	68627375	12
q15	NUP107	68686734	68745809	12
q15	SLC35E3	68746106	68793964	12
q15	MDM2	68808176	68850686	12
q15	CPM	68842197	68971570	12
q15	CPSF6	69239537	69274358	12
q15	MIR1279	69273157	69273218	12
q15	LYZ	69348341	69354234	12
q15	YEATS4	69359703	69390796	12
q15	FRS2	69470349	69579789	12
q15	MIR3913-1	69584722	69584823	12
q15	MIR3913-2	69584723	69584822	12
q15	CCT2	69585334	69601570	12
q15	LRRC10	69608564	69611162	12
q15	BEST3	69643360	69699476	12
q15	RAB3IP	69738681	69823204	12
q15	CNOT2	70242994	70354993	12
q15	KCNMB4	70366276	70434292	12
q15	PTPRB	70515866	70637440	12
q15	PTPRR	70638073	70920843	12
q21.1	TSPAN8	71125085	71441898	12
q21.1	LGR5	71439770	71586310	12
q21.1	ZFC3H1	71609472	71667725	12
q21.1	THAP2	71663009	71680639	12
q21.1	TMEM19	71686087	71705046	12
q21.1	RAB21	71754874	71800285	12
q21.1	TBC1D15	71839707	71927248	12
q21.1	TPH2	71938846	72186618	12
q21.1	TRHDE	72087266	72670757	12
q21.1	ATXN7L3B	74537827	74545430	12
q21.1	KCNC2	75040077	75209868	12
q21.2	CAPS2	75275979	75390928	12
q21.2	GLIPR1L1	75334639	75370560	12
q21.2	GLIPR1L2	75391070	75432688	12
q21.2	GLIPR1	75480680	75503853	12
q21.2	KRR1	75490861	75511636	12
q21.2	PHLDA1	76025447	76033932	12
q21.2	NAP1L1	76036587	76085033	12
q21.2	BBS10	76344474	76348442	12
q21.2	OSBPL8	76351797	76559809	12
q21.2	ZDHHC17	76763588	76853696	12
q21.2	CSRP2	76858715	76879060	12
q21.2	E2F7	77021247	77065580	12
q21.2	NAV3	77324641	78213008	12
q21.2	SYT1	78863993	79452008	12
q21.2	MIR1252	79419257	79419321	12
q21.2	PAWR	79574979	79691097	12
q21.31	PPP1R12A	79773563	79935460	12
q21.31	OTOGL	80209453	80379090	12
q21.31	PTPRQ	80402178	80680234	12
q21.31	MYF6	80707498	80709474	12
q21.31	MYF5	80716912	80719673	12
q21.31	LIN7A	80792520	80937925	12
q21.31	MIR617	80832533	80832629	12
q21.31	MIR618	80935736	80935833	12
q21.31	ACSS3	80936414	81261205	12
q21.31	MIR4699	81158388	81158461	12
q21.31	PPFIA2	81257975	81759553	12
q21.31	CCDC59	82223681	82358805	12
q21.31	TMTC2	82686880	83134870	12
q21.31	SLC6A15	84859488	84913615	12
q21.31	TSPAN19	85014311	85036277	12
q21.31	LRRIQ1	85036314	85263224	12
q21.31	ALX1	85280107	85301784	12
q21.31	RASSF9	85800697	85836570	12
q21.31	NTS	85874295	85882992	12
q21.32	MGAT4C	85955666	86838904	12
q21.32	MKRN9P	87782163	87784568	12
q21.32	C12orf50	87980035	88034037	12
q21.32	C12orf29	88033846	88050160	12
q21.32	CEP290	88049014	88142216	12
q21.32	TMTC3	88142296	88199887	12
q21.32	KITLG	88492793	88580851	12
q21.33	DUSP6	89347232	89353271	12
q21.33	POC1B	89419718	89526024	12
q21.33	GALNT4	89519408	89524806	12
q21.33	POC1B-GALNT4	89519408	89526262	12
q21.33	ATP2B1	89588049	89709300	12
q21.33	EPYC	90963679	91005026	12
q21.33	KERA	91050491	91057983	12
q21.33	LUM	91102629	91111831	12
q21.33	DCN	91140484	91183123	12
q21.33	BTG1	92140278	92145897	12
q22	CLLU1OS	92420094	92428148	12
q22	CLLU1	92421531	92431002	12
q22	C12orf74	92702843	92708549	12
q22	PLEKHG7	92721505	92772455	12
q22	EEA1	92770637	92929331	12
q22	NUDT4	93377883	93408146	12
q22	UBE2N	93405673	93442262	12
q22	MRPL42	93467488	93516213	12
q22	SOCS2	93569814	93583487	12
q22	CRADD	93677375	93894840	12
q22	PLXNC1	94148723	94307675	12
q22	TMCC3	94567124	94650562	12
q22	KRT19P2	94834147	94835158	12
q22	NDUFA12	94897055	95003770	12
q22	NR2C1	95020229	95073703	12
q22	FGD6	95076749	95217482	12
q22	VEZT	95217746	95302790	12
q22	MIR331	95308420	95308513	12
q22	MIR3685	95309923	95309984	12
q22	METAP2	95473520	95515839	12
q22	USP44	95516560	95551490	12
q22	NTN4	95657807	95791152	12
q23.1	SNRPF	95858928	95903828	12
q23.1	CCDC38	95867048	95942974	12
q23.1	AMDHD1	95943293	95968716	12
q23.1	HAL	95972662	95996365	12
q23.1	LTA4H	96000828	96043520	12
q23.1	ELK3	96194382	96269835	12
q23.1	CDK17	96278261	96400560	12
q23.1	NEDD1	96907223	96953777	12
q23.1	RMST	97431653	97565035	12
q23.1	MIR1251	97491909	97491978	12
q23.1	MIR135A2	97563812	97563911	12
q23.1	MIR4303	97995383	97995448	12
q23.1	SLC9A7P1	98453835	98457145	12
q23.1	TMPO	98515512	98550379	12
q23.1	SLC25A3	98593591	98606379	12
q23.1	SNORA53	98599635	98599883	12
q23.1	IKBIP	98613405	98645113	12
q23.1	APAF1	98645141	98735433	12
q23.1	ANKS1B	98726457	99984654	12
q23.1	FAM71C	99647753	99650046	12
q23.1	UHRF1BP1L	100028455	100142848	12
q23.1	GOLGA2P5	100156357	100173659	12
q23.1	MIR1827	100189884	100189949	12
q23.1	ACTR6	100199122	100241865	12
q23.1	DEPDC4	100203669	100267079	12
q23.1	SCYL2	100267140	100341724	12
q23.1	SLC17A8	100357079	100422059	12
q23.1	NR1H4	100473708	100564413	12
q23.1	GAS2L3	100573683	100628286	12
q23.1	ANO4	100717526	101128641	12
q23.2	SLC5A8	101155493	101210407	12
q23.2	UTP20	101280109	101386616	12
q23.2	ARL1	101393120	101407820	12
q23.2	SPIC	101475421	101486997	12
q23.2	MYBPC1	101568353	101686018	12
q23.2	CHPT1	101696947	101744140	12
q23.2	SYCP3	101728648	101739472	12
q23.2	GNPTAB	101745497	101830938	12
q23.2	DRAM1	101877351	102012130	12
q23.2	CCDC53	102012927	102062149	12
q23.2	NUP37	102073103	102120124	12
q23.2	PARPBP	102120185	102197520	12
q23.2	PMCH	102196459	102197845	12
q23.2	IGF1	102395867	102480645	12
q23.2	LINC00485	102809280	102824399	12
q23.2	PAH	102836885	102958410	12
q23.2	ASCL1	102957686	102960516	12
q23.2	C12orf42	103237591	103496010	12
q23.3	STAB2	103587273	103766727	12
q23.3	NT5DC3	103770453	103841197	12
q23.3	HSP90B1	103930107	103953645	12
q23.3	C12orf73	103950202	103965708	12
q23.3	TDG	103965804	103988874	12
q23.3	GLT8D2	103988984	104064183	12
q23.3	HCFC2	104064457	104106524	12
q23.3	NFYB	104117077	104138289	12
q23.3	TXNRD1	104215779	104350305	12
q23.3	EID3	104303739	104305205	12
q23.3	CHST11	104455295	104762014	12
q23.3	MIR3922	104591633	104591716	12
q23.3	SLC41A2	104802553	104958744	12
q23.3	C12orf45	104986310	105074197	12
q23.3	ALDH1L2	105019784	105084577	12
q23.3	KIAA1033	105107324	105169134	12
q23.3	APPL2	105173296	105236238	12
q23.3	C12orf75	105235290	105396097	12
q23.3	NUAK1	106063340	106140033	12
q23.3	CKAP4	106237877	106304279	12
q23.3	TCP11L2	106301929	106347015	12
q23.3	POLR3B	106357658	106510198	12
q23.3	RFX4	106582907	106762803	12
q23.3	RIC8B	106774595	106889316	12
q23.3	CRY1	106991364	107093829	12
q23.3	BTBD11	107318413	107659642	12
q23.3	PWP1	107685732	107713167	12
q23.3	PRDM4	107732866	107761272	12
q23.3	ASCL4	107774385	107776644	12
q23.3	WSCD2	108129471	108250537	12
q23.3	CMKLR1	108288044	108339341	12
q23.3	FICD	108515185	108525837	12
q23.3	SART3	108522580	108561400	12
q23.3	ISCU	108562582	108569384	12
q23.3	TMEM119	108589846	108598320	12
q24.11	SELPLG	108622277	108633959	12
q24.11	CORO1C	108645109	108731596	12
q24.11	SSH1	108778192	108857590	12
q24.11	DAO	108858932	108901043	12
q24.11	SVOP	108907741	109021240	12
q24.11	USP30	109023089	109088026	12
q24.11	ALKBH2	109088188	109093631	12
q24.11	UNG	109097574	109110992	12
q24.11	ACACB	109116595	109268226	12
q24.11	FOXN4	109277979	109309220	12
q24.11	MYO1H	109347903	109455523	12
q24.11	KCTD10	109448656	109477544	12
q24.11	UBE3B	109477402	109536705	12
q24.11	MMAB	109553737	109573874	12
q24.11	MVK	109573255	109598117	12
q24.11	TRPV4	109783085	109833401	12
q24.11	MIR4497	109833348	109833436	12
q24.11	GLTP	109850943	109880488	12
q24.11	TCHP	109900264	109983841	12
q24.11	GIT2	109929792	109996389	12
q24.11	ANKRD13A	109999186	110039763	12
q24.11	C12orf76	110027028	110073686	12
q24.11	IFT81	110124335	110218797	12
q24.11	ATP2A2	110280756	110351093	12
q24.11	ANAPC7	110372900	110403730	12
q24.11	ARPC3	110434825	110450422	12
q24.11	GPN3	110452484	110469268	12
q24.11	FAM216A	110468364	110490385	12
q24.11	VPS29	110491097	110502117	12
q24.11	RAD9B	110501655	110532086	12
q24.11	PPTC7	110533245	110583320	12
q24.11	TCTN1	110614027	110649430	12
q24.11	HVCN1	110627841	110704950	12
q24.11	PPP1CC	110719680	110742939	12
q24.11	CCDC63	110846769	110907535	12
q24.11	MYL2	110910819	110920722	12
q24.11	CUX2	111034024	111350554	12
q24.12	FAM109A	111360651	111369121	12
q24.12	SH2B3	111405948	111451623	12
q24.12	ATXN2	111452214	111599676	12
q24.12	BRAP	111642146	111685986	12
q24.12	ACAD10	111686056	111757107	12
q24.12	ALDH2	111766887	111817529	12
q24.12	MAPKAPK5	111841978	111902238	12
q24.13	TMEM116	111931282	112013185	12
q24.13	ERP29	112013316	112023451	12
q24.13	NAA25	112026689	112109022	12
q24.13	TRAFD1	112125501	112153609	12
q24.13	RPL6	112405190	112418838	12
q24.13	PTPN11	112418351	112509913	12
q24.13	RPH3A	112570380	112898881	12
q24.13	OAS1	112906777	112933222	12
q24.13	OAS3	112938352	112973249	12
q24.13	OAS2	112978395	113011723	12
q24.13	DTX1	113056709	113098028	12
q24.13	RASAL1	113098819	113136239	12
q24.13	DDX54	113157174	113185479	12
q24.13	IQCD	113195441	113221094	12
q24.13	TPCN1	113221050	113298585	12
q24.13	PLBD2	113358566	113391625	12
q24.13	SDS	113392445	113426301	12
q24.13	SDSL	113422237	113438276	12
q24.13	LHX5	113462034	113472280	12
q24.21	RBM19	113816738	113966371	12
q24.21	TBX5	114353931	114408442	12
q24.21	TBX3	114670254	114684164	12
q24.21	MED13L	115953872	116277338	12
q24.21	MIR620	116148560	116148654	12
q24.22	MIR4472-2	116428252	116428318	12
q24.22	LINC00173	116533422	116536518	12
q24.22	MAP1LC3B2	116548105	116576448	12
q24.22	C12orf49	116710185	116738070	12
q24.22	RNFT2	116738178	116853631	12
q24.22	HRK	116856144	116881441	12
q24.22	FBXW8	116910956	117031148	12
q24.22	TESC	117038923	117099479	12
q24.22	FBXO21	117141988	117190531	12
q24.22	NOS1	117208142	117452170	12
q24.23	KSR2	117453012	117968983	12
q24.23	RFC5	118013588	118033130	12
q24.23	WSB2	118032694	118062430	12
q24.23	VSIG10	118063593	118136026	12
q24.23	PEBP1	118135858	118145584	12
q24.23	TAOK3	118149801	118372945	12
q24.23	SUDS3	118376380	118418031	12
q24.23	SRRM4	118981495	119163051	12
q24.23	HSPB8	119178642	119221131	12
q24.23	CCDC60	119334712	119541047	12
q24.23	TMEM233	119593459	119643066	12
q24.23	PRKAB1	119667753	119681630	12
q24.23	CIT	119685790	119877291	12
q24.23	RAB35	120095095	120117502	12
q24.23	MIR4498	120155434	120155499	12
q24.23	RPLP0	120196686	120201235	12
q24.23	PXN	120210439	120265771	12
q24.31	SIRT4	120302316	120313249	12
q24.31	PLA2G1B	120322111	120327789	12
q24.31	MSI1	120341330	120369180	12
q24.31	COX6A1	120438090	120440742	12
q24.31	TRIAP1	120443961	120446412	12
q24.31	GATC	120446438	120463749	12
q24.31	SRSF9	120461668	120469793	12
q24.31	DYNLL1	120469850	120498493	12
q24.31	COQ5	120503274	120534434	12
q24.31	RNF10	120533480	120577594	12
q24.31	POP5	120578764	120581398	12
q24.31	CABP1	120640552	120667324	12
q24.31	MLEC	120686869	120701864	12
q24.31	UNC119B	120710435	120723640	12
q24.31	ACADS	120725735	120740008	12
q24.31	SPPL3	120762510	120904371	12
q24.31	HNF1A-AS1	120941728	120980965	12
q24.31	HNF1A	120978543	121002512	12
q24.31	C12orf43	121000486	121016502	12
q24.31	OASL	121019111	121039242	12
q24.31	P2RX7	121132819	121188032	12
q24.31	P2RX4	121209857	121234106	12
q24.31	CAMKK2	121237691	121298308	12
q24.31	ANAPC5	121308245	121399896	12
q24.31	RNF34	121400041	121430623	12
q24.31	KDM2B	121429097	121581015	12
q24.31	ORAI1	121626550	121642677	12
q24.31	MORN3	121648742	121672631	12
q24.31	TMEM120B	121712752	121783001	12
q24.31	RHOF	121777754	121803403	12
q24.31	SETD1B	121804180	121832584	12
q24.31	HPD	121839527	121863596	12
q24.31	PSMD9	121888731	121918297	12
q24.31	WDR66	121917862	122003927	12
q24.31	BCL7A	122019422	122062044	12
q24.31	MLXIP	122078722	122147347	12
q24.31	LRRC43	122167738	122203471	12
q24.31	IL31	122172030	122174199	12
q24.31	B3GNT4	122203543	122208952	12
q24.31	DIABLO	122207662	122227534	12
q24.31	VPS33A	122229564	122266521	12
q24.31	CLIP1	122271432	122422632	12
q24.31	ZCCHC8	122471600	122501073	12
q24.31	RSRC2	122503458	122527000	12
q24.31	KNTC1	122527246	122626396	12
q24.31	HCAR2	122701293	122703343	12
q24.31	HCAR3	122714756	122716892	12
q24.31	HCAR1	122726076	122730843	12
q24.31	DENR	122752774	122771064	12
q24.31	CCDC62	122774327	122827528	12
q24.31	HIP1R	122834453	122862960	12
q24.31	VPS37B	122865328	122896444	12
q24.31	ABCB9	122920951	122981649	12
q24.31	OGFOD2	122974580	122980043	12
q24.31	ARL6IP4	122980060	122982913	12
q24.31	PITPNM2	122983480	123150015	12
q24.31	MIR4304	123010667	123010728	12
q24.31	MPHOSPH9	123152320	123244014	12
q24.31	C12orf65	123232916	123257959	12
q24.31	CDK2AP1	123260971	123272334	12
q24.31	SBNO1	123289109	123364843	12
q24.31	RILPL2	123410683	123436717	12
q24.31	SNRNP35	123457641	123473154	12
q24.31	RILPL1	123470054	123533718	12
q24.31	MIR3908	123536409	123536534	12
q24.31	TMED2	123584531	123598577	12
q24.31	DDX55	123602077	123620941	12
q24.31	EIF2B1	123620406	123633766	12
q24.31	GTF2H3	123633739	123662606	12
q24.31	TCTN2	123671113	123708403	12
q24.31	ATP6V0A2	123712318	123761755	12
q24.31	DNAH10	123762188	123936206	12
q24.31	CCDC92	123918660	123972831	12
q24.31	ZNF664	123971845	124015439	12
q24.31	FAM101A	123973241	124316024	12
q24.31	NCOR2	124324415	124567589	12
q24.31	SCARB1	124776856	124882668	12
q24.31	UBC	124911604	124917368	12
q24.31	DHX37	124946825	124989122	12
q24.31	BRI3BP	124993700	125031231	12
q24.31	AACS	125065379	125143333	12
q24.31	TMEM132B	125186836	125662377	12
q24.32	TMEM132C	128267403	128707915	12
q24.32	MIR3612	128294092	128294178	12
q24.33	SLC15A4	128793191	128823983	12
q24.33	GLT1D1	128853427	128984968	12
q24.33	TMEM132D	129071725	129903666	12
q24.33	FZD10	130162459	130165740	12
q24.33	PIWIL1	130337887	130372637	12
q24.33	RIMBP2	130396137	130517917	12
q24.33	STX2	130789600	130839266	12
q24.33	RAN	130871879	130877678	12
q24.33	SFSWAP	131711081	131799737	12
q24.33	MMP17	131828393	131851783	12
q24.33	ULK1	131894651	131923167	12
q24.33	PUS1	131929200	131945896	12
q24.33	EP400	131949920	132081102	12
q24.33	SNORA49	132031224	132031359	12
q24.33	EP400NL	132084283	132131639	12
q24.33	DDX51	132136594	132144335	12
q24.33	NOC4L	132144448	132152473	12
q24.33	GALNT9	132196372	132329349	12
q24.33	FBRSL1	132489551	132585188	12
q24.33	P2RX2	132618780	132622386	12
q24.33	POLE	132623753	132687365	12
q24.33	PXMP2	132687606	132704991	12
q24.33	PGAM5	132710819	132722734	12
q24.33	ANKLE2	132725503	132761888	12
q24.33	GOLGA3	132768909	132828858	12
q24.33	CHFR	132822187	132956304	12
q24.33	ZNF605	132918308	132956306	12
q24.33	ZNF26	132986365	133032952	12
q24.33	ZNF84	133037292	133063304	12
q24.33	ZNF140	133079838	133107544	12
q24.33	ZNF10	133130575	133159465	12
q24.33	ZNF268	133181409	133214831	12
q11	ANKRD20A9P	18816718	18871967	13
q12.11	LINC00442	19008259	19012559	13
q12.11	TUBA3C	19173770	19181852	13
q12.11	ANKRD26P3	19290593	19344825	13
q12.11	LINC00421	19345049	19346749	13
q12.11	TPTE2	19422877	19536762	13
q12.11	MPHOSPH8	19633681	19673459	13
q12.11	PSPC1	19674752	19783019	13
